id,from,to,distance,kind,bidirectional,modes,access,accessible,approved
ped-edge:05a5e405-b669-5258-936d-bd4e08fb2733,ped-node:2c845f33-b766-5f9f-87c5-f8217a9758f6,ped-node:70e5f023-b227-587d-bbfd-0fe1aa403440,5.4931,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:0fb453fe-a4dc-5a2f-91fe-358125d351a5,ped-node:13078805-7b96-57e2-8622-b9a3efda9848,ped-node:af9cd5cd-e361-59e9-b26b-9cf0438bd104,158.377,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:166ae8c4-90c0-5e7e-a0be-740d34ec4b75,ped-node:62aa3d2d-eb8c-543a-b435-01210168f1a6,ped-node:0e5b24b5-5eba-58f4-bbb2-e000dc35f4fa,124.3729,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:4273c241-b99f-5134-8479-871b4ff12c5a,ped-node:eb968430-0084-547c-86ef-ac5504e05922,ped-node:560321f6-8b4f-5f4c-81c4-14c690d8f6f2,4.5849,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:43946a75-ceff-53b4-bb2b-60d8d9c4a978,ped-node:fcc0595e-b938-5cbc-a3f1-6c10441f88f4,ped-node:13078805-7b96-57e2-8622-b9a3efda9848,5.3455,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:6adb167d-7a55-5b9f-ada1-3a03092e93a2,ped-node:eb968430-0084-547c-86ef-ac5504e05922,ped-node:2c845f33-b766-5f9f-87c5-f8217a9758f6,6.578,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:94a8d611-e124-5889-8f9f-94a94540a4b5,ped-node:210007c0-3b19-5512-9b44-96d640af4291,ped-node:947127f6-6978-50e6-b725-bf916751cb96,302.4857,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:95e40dce-bce0-5de4-a305-dd6f397e7e90,ped-node:210007c0-3b19-5512-9b44-96d640af4291,ped-node:fd521b44-b388-5942-b2c5-e113be627761,135.3657,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:a11d609c-784a-504b-a33e-cb6f656ea913,ped-node:947127f6-6978-50e6-b725-bf916751cb96,ped-node:9ae981e2-6626-5f8c-8e6d-899c075a4412,159.3436,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:a8ed5be7-9b5c-54b4-85e8-c9c98e6a5d17,ped-node:e744ae81-9fc0-50d7-8a48-956199b48656,ped-node:b4157813-e05f-5f56-861f-c047a49f5b9f,122.6682,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:a99fdda3-dc0d-5290-848a-0e4fdd15ac1c,ped-node:ffa5f27c-8404-5108-a165-f81c4337fc6b,ped-node:210007c0-3b19-5512-9b44-96d640af4291,134.4974,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:b05393da-7b85-5d6c-ba96-6bcf60519f01,ped-node:70e5f023-b227-587d-bbfd-0fe1aa403440,ped-node:671ba5ec-0fce-5016-a98e-f651b370b72e,6.2817,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:c7cb5ca1-68bf-54cf-b1d3-e9d01e825474,ped-node:560321f6-8b4f-5f4c-81c4-14c690d8f6f2,ped-node:8ccc8471-b4e8-57a2-b159-daa4a8c8f2a8,7.2964,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:c9fa1981-809d-5f92-9516-7902db5e79d1,ped-node:13078805-7b96-57e2-8622-b9a3efda9848,ped-node:5cb67390-9ca4-5398-9147-31b20bbd4ec5,135.7876,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:cb9ff869-ce5d-5c61-93a0-eec158ce19c1,ped-node:b4157813-e05f-5f56-861f-c047a49f5b9f,ped-node:6b35836d-1d74-52b4-8db0-84ef1375dbde,116.517,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:cc47b006-138a-580c-a2b3-8ee759a35b83,ped-node:210007c0-3b19-5512-9b44-96d640af4291,ped-node:fcc0595e-b938-5cbc-a3f1-6c10441f88f4,383.3976,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:e75dd8df-d379-5d04-9288-eeb606d451a2,ped-node:3d7f2145-9ce0-50c2-8012-4cde5cb7c50e,ped-node:62aa3d2d-eb8c-543a-b435-01210168f1a6,5.3897,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
ped-edge:eb5f90e1-1d5d-5345-a97e-b68443e69d7f,ped-node:fcc0595e-b938-5cbc-a3f1-6c10441f88f4,ped-node:3d7f2145-9ce0-50c2-8012-4cde5cb7c50e,15.1153,hallway,True,"[""walking""]","[""contractor"", ""emergency"", ""employee"", ""visitor""]",True,False
